Gene1	Gene2	Correlation	Pvalue	FDR
ENSG00000109736	ENSG00000253368	0.778535414165666	2.82556200659201e-11	1.00408364162823e-08
ENSG00000110169	ENSG00000132182	-0.702761104441777	1.27635764179956e-08	1.18137288706099e-06
ENSG00000110169	ENSG00000134057	-0.71515006002401	5.37960054280973e-09	6.37226492868533e-07
ENSG00000110169	ENSG00000160957	-0.700072028811525	1.53077759357245e-08	1.3244553961779e-06
ENSG00000110169	ENSG00000164344	0.701224489795918	1.41640297268708e-08	1.25272974028768e-06
ENSG00000110169	ENSG00000167513	-0.707947178871549	8.9381921863918e-09	9.3125667282302e-07
ENSG00000110169	ENSG00000171557	0.79812725090036	3.8880010322373e-12	2.03608475109269e-09
ENSG00000110169	ENSG00000187824	0.701896758703481	1.3534444676111e-08	1.20778228275609e-06
ENSG00000112293	ENSG00000117054	0.769507803121248	6.59561294469313e-11	1.98203861283751e-08
ENSG00000112293	ENSG00000143839	0.758559423769508	1.75422787407342e-10	4.25721154805623e-08
ENSG00000112293	ENSG00000146085	0.737719087635054	9.86446035966537e-10	1.66358272167238e-07
ENSG00000112964	ENSG00000125877	-0.702472989195678	1.30158261946178e-08	1.18271662681687e-06
ENSG00000117054	ENSG00000146085	0.762689075630252	1.22041488026525e-10	3.07420963509855e-08
ENSG00000117054	ENSG00000166840	0.723985594237695	2.82441003918166e-09	3.747050651981e-07
ENSG00000117054	ENSG00000171503	0.741944777911164	7.04335700874026e-10	1.26272796823361e-07
ENSG00000117791	ENSG00000134365	0.707082833133253	9.49002409988964e-09	9.63527957080631e-07
ENSG00000119711	ENSG00000157131	0.738679471788716	9.14260223083829e-10	1.56690931265162e-07
ENSG00000119711	ENSG00000160211	-0.706602641056423	9.81027925561762e-09	9.76122785933953e-07
ENSG00000119711	ENSG00000173457	-0.755966386554622	2.19503304421664e-10	4.89366710117641e-08
ENSG00000119711	ENSG00000176894	0.708619447779112	8.53000292622141e-09	8.9813258323707e-07
ENSG00000119711	ENSG00000185803	-0.777094837935174	3.24333893075845e-11	1.09393974105243e-08
ENSG00000119711	ENSG00000204653	0.763649459783914	1.12048592626479e-10	2.85867563239351e-08
ENSG00000125877	ENSG00000154582	0.744633853541417	5.66511060284824e-10	1.05360468221196e-07
ENSG00000125877	ENSG00000163517	0.767490996398559	7.92943488647779e-11	2.2542250605844e-08
ENSG00000125877	ENSG00000171960	0.75625450180072	2.14132711562343e-10	4.89366710117641e-08
ENSG00000125877	ENSG00000173457	0.742905162064826	6.51835030396342e-10	1.19004744081534e-07
ENSG00000128928	ENSG00000160211	-0.726002400960384	2.42969067087984e-09	3.33454098969026e-07
ENSG00000128928	ENSG00000164687	-0.711980792316927	6.73891165092755e-09	7.28827944855751e-07
ENSG00000128928	ENSG00000166840	0.721392557022809	3.42097594696611e-09	4.42061177562504e-07
ENSG00000132182	ENSG00000134057	0.800816326530612	2.91167090438194e-12	1.56600678370812e-09
ENSG00000132182	ENSG00000156802	0.716014405762305	5.05636865710812e-09	6.14571652872147e-07
ENSG00000132182	ENSG00000160957	0.783913565426171	1.67310609811011e-11	6.5283943828218e-09
ENSG00000132182	ENSG00000164104	0.816278511404562	5.04929431599521e-13	3.31544111161513e-10
ENSG00000132182	ENSG00000167513	0.738583433373349	9.21248188845425e-10	1.56690931265162e-07
ENSG00000132698	ENSG00000141756	0.752485236146301	2.95301116892688e-10	6.0953472738801e-08
ENSG00000134057	ENSG00000134365	-0.735414165666266	1.18223164591313e-09	1.91271624013588e-07
ENSG00000134057	ENSG00000160211	0.818679471788715	3.79030140607028e-13	2.60093096485513e-10
ENSG00000134057	ENSG00000160957	0.828475390156062	1.12354570092066e-13	9.31606643680046e-11
ENSG00000134057	ENSG00000164032	0.85546218487395	2.66453525910038e-15	4.41868763800812e-12
ENSG00000134057	ENSG00000164104	0.846242496998799	1.02140518265514e-14	1.35506420898916e-11
ENSG00000134057	ENSG00000167513	0.892436974789916	0	0
ENSG00000134057	ENSG00000171960	0.70641056422569	9.94120386010877e-09	9.84228640876441e-07
ENSG00000134057	ENSG00000187824	-0.713997599039616	5.84089265842636e-09	6.6801013737175e-07
ENSG00000134057	ENSG00000204653	-0.72984393757503	1.81728343484622e-09	2.67881039655109e-07
ENSG00000134339	ENSG00000159403	0.711020408163265	7.21077686449689e-09	7.70113795429164e-07
ENSG00000134339	ENSG00000173432	0.980696278511405	0	0
ENSG00000134339	ENSG00000255071	0.976253931948427	0	0
ENSG00000134365	ENSG00000157131	0.713421368547419	6.08525607681543e-09	6.84161558918796e-07
ENSG00000137731	ENSG00000173457	0.717472208423091	4.55225279694105e-09	5.62669755646751e-07
ENSG00000137731	ENSG00000176170	0.743307162451043	6.3097460589745e-10	1.16262913494067e-07
ENSG00000137731	ENSG00000198467	0.732598622026817	1.47115697402e-09	2.34208190263985e-07
ENSG00000137731	ENSG00000198682	-0.72842085065055	2.02485539446684e-09	2.87818731070644e-07
ENSG00000141526	ENSG00000141756	0.722929171668667	3.05453751181517e-09	4.02551632351801e-07
ENSG00000141526	ENSG00000164687	0.71313325330132	6.21101392539458e-09	6.90498196175152e-07
ENSG00000141526	ENSG00000188389	0.708043217286915	8.87877571464912e-09	9.2993493011325e-07
ENSG00000146083	ENSG00000197122	0.701800720288115	1.36227464864191e-08	1.21023506732027e-06
ENSG00000146085	ENSG00000185803	-0.7046818727491	1.119573633801e-08	1.07819936066951e-06
ENSG00000154582	ENSG00000184428	0.769987995198079	6.31092955671875e-11	1.96230465904224e-08
ENSG00000156802	ENSG00000160957	0.728979591836735	1.94082705462506e-09	2.83979120510895e-07
ENSG00000159403	ENSG00000173432	0.727923169267707	2.10257633526112e-09	2.94656824448565e-07
ENSG00000159403	ENSG00000255071	0.730389685437067	1.7431360799236e-09	2.67881039655109e-07
ENSG00000160211	ENSG00000164104	0.718223289315726	4.31137392453707e-09	5.36227131864297e-07
ENSG00000160211	ENSG00000166840	-0.70093637454982	1.44421883341295e-08	1.26052433267183e-06
ENSG00000160211	ENSG00000167513	0.714669867947179	5.56747536961666e-09	6.51722116796303e-07
ENSG00000160211	ENSG00000171960	0.766338535414166	8.80218120613563e-11	2.46709022538168e-08
ENSG00000160211	ENSG00000173457	0.710924369747899	7.25963511527539e-09	7.70113795429164e-07
ENSG00000160211	ENSG00000185803	0.788811524609844	1.02469144280803e-11	4.24819993997498e-09
ENSG00000160211	ENSG00000204653	-0.707563025210084	9.1796175105685e-09	9.51429106564131e-07
ENSG00000160211	ENSG00000253368	0.71390156062425	5.88096815690164e-09	6.6875009327053e-07
ENSG00000160957	ENSG00000164032	0.758943577430972	1.6965229221455e-10	4.16800075934513e-08
ENSG00000160957	ENSG00000164104	0.793613445378151	6.25632878836768e-12	2.96430816401231e-09
ENSG00000160957	ENSG00000167513	0.839711884753902	2.53130849614536e-14	2.79850217073848e-11
ENSG00000163517	ENSG00000184840	0.707370948379352	9.30261645493147e-09	9.5423746109864e-07
ENSG00000163687	ENSG00000163815	0.730036014405762	1.79085457574502e-09	2.67881039655109e-07
ENSG00000163687	ENSG00000167513	-0.714285714285714	5.72220226757736e-09	6.62045494911567e-07
ENSG00000163751	ENSG00000172236	0.927410255738082	0	0
ENSG00000163751	ENSG00000197253	0.885639511408009	0	0
ENSG00000163815	ENSG00000167513	-0.740696278511405	7.78564990255859e-10	1.38334315232961e-07
ENSG00000164032	ENSG00000164104	0.873805522208884	0	0
ENSG00000164032	ENSG00000167513	0.844705882352941	1.24344978758018e-14	1.54654067330284e-11
ENSG00000164032	ENSG00000171960	0.757022809123649	2.0041190929021e-10	4.69199646455904e-08
ENSG00000164104	ENSG00000167513	0.835582232893157	4.44089209850063e-14	4.01698876182557e-11
ENSG00000164344	ENSG00000187824	0.750012004801921	3.63507224321324e-10	7.0919546705827e-08
ENSG00000166840	ENSG00000171960	-0.728883553421369	1.95503213618053e-09	2.83979120510895e-07
ENSG00000166840	ENSG00000185803	-0.703145258103241	1.24343846330532e-08	1.1617101136045e-06
ENSG00000166840	ENSG00000187824	0.713421368547419	6.08525607681543e-09	6.84161558918796e-07
ENSG00000166840	ENSG00000204653	0.728019207683073	2.08736294915468e-09	2.94599451689207e-07
ENSG00000166900	ENSG00000253368	0.714093637454982	5.80107428760357e-09	6.67291204180989e-07
ENSG00000170476	ENSG00000188389	0.765282112845138	9.68130020595481e-11	2.67580380692362e-08
ENSG00000171497	ENSG00000171503	0.730036014405762	1.79085457574502e-09	2.67881039655109e-07
ENSG00000171960	ENSG00000173457	0.707178871548619	9.42716393836918e-09	9.62054166018188e-07
ENSG00000172236	ENSG00000197253	0.945060754491229	0	0
ENSG00000173267	ENSG00000177685	0.75078031212485	3.40870442983032e-10	6.71616021323004e-08
ENSG00000173432	ENSG00000255071	0.985329780110662	0	0
ENSG00000173457	ENSG00000176170	0.706890756302521	9.61692814271942e-09	9.66549848687457e-07
ENSG00000173457	ENSG00000185803	0.752124849939976	3.04425373798267e-10	6.181698916924e-08
ENSG00000173457	ENSG00000233927	0.705738295318127	1.04124926458837e-08	1.01077367635652e-06
ENSG00000173457	ENSG00000253368	0.785546218487395	1.4228618283596e-11	5.77856130292981e-09
ENSG00000176170	ENSG00000227507	0.719087635054022	4.04902844586275e-09	5.16510679953004e-07
ENSG00000176170	ENSG00000253368	0.772677070828331	4.91953144887702e-11	1.60489632512546e-08
ENSG00000184428	ENSG00000185803	0.730324129651861	1.75188974438356e-09	2.67881039655109e-07
ENSG00000233927	ENSG00000241343	0.755870348139256	2.21321627691395e-10	4.89366710117641e-08
