""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000139874"	388.336970608363	-0.389035750580991	0.521766687148576	-0.745612474240256	0.455901545267156	0.735680159565914
"ENSG00000139880"	195.120873598117	0.20886405308163	0.341723134948399	0.611208407394394	0.541061618180881	0.792348812354507
"ENSG00000139890"	8.43024176810846	0.765395954918974	0.386919660452689	1.97817798667422	0.0479086311761399	0.264281787741346
"ENSG00000139899"	89.4542063142539	0.145253916969535	0.332524928848066	0.436821135403967	0.662241069856671	0.857330265138262
"ENSG00000139908"	12.8919376443671	0.115574428972354	0.346835439008802	0.333225547258512	0.738964035138479	0.893767578556576
"ENSG00000139910"	141.993666743643	-0.381919462415541	0.604317176219004	-0.631985118816371	0.527396601241923	0.784007551799856
"ENSG00000139914"	124.863401278756	-0.991383764696482	0.472119847017857	-2.09985615084507	0.0357414970432883	0.229454547621189
"ENSG00000139915"	15.4368709089296	-0.49928001449956	0.951115010705936	-0.524941788195503	0.599623658453788	0.82403301111914
"ENSG00000139921"	1184.47448267407	-0.237511029054147	0.156324974768099	-1.51934154735342	0.128676546893273	0.421766485860097
"ENSG00000139926"	425.683132841816	-0.200935144341832	0.357316151453291	-0.562345540565631	0.573880615958816	0.810173594813359
"ENSG00000139946"	99.7508662639984	-1.02812322186285	0.462583919247019	-2.22256585040051	0.026245089086115	0.19608297046547
"ENSG00000139970"	116.953094394267	-0.142385875478547	0.414432790990165	-0.343568073217271	0.731171138515371	0.890185040420333
"ENSG00000139971"	33.8925663830432	-0.43228100414843	0.401185959405404	-1.07750780906967	0.281253463964386	0.597054377115888
"ENSG00000139973"	0.889607419741045	-0.199322325361016	0.828672266315694	-0.240532154222091	0.809917739330594	0.928295997969923
"ENSG00000139974"	405.585803798877	0.32730443443172	0.210021717883378	1.55843137428991	0.119131024097762	0.407512173164194
"ENSG00000139977"	925.05328378447	-0.441850227008313	0.124766975777402	-3.54140367877973	0.000398004145755439	0.0203701330511025
"ENSG00000139985"	7.00630432242242	-1.27302323700345	0.477246619383395	-2.66743269684801	0.00764331961877432	0.105771554002866
"ENSG00000139988"	177.876260476482	0.838298749833061	0.456673954222952	1.83566139930064	0.0664077502404782	0.310301468549523
"ENSG00000139990"	1676.91463472694	-0.300923455431361	0.121143679025146	-2.4840211049633	0.0129908108575594	0.138411257538084
"ENSG00000139998"	1014.86326128074	0.220298308277687	0.272644768864809	0.808004896609339	0.4190877633241	0.708624843853598
"ENSG00000140006"	420.482307743655	-0.419899983042785	0.131706347379705	-3.18815297361658	0.00143184764538234	0.0425367044770207
"ENSG00000140009"	10.9083702773762	-0.143801557168883	0.236720034826245	-0.607475228171687	0.543535577340429	0.793668986005229
"ENSG00000140015"	1.06508141971597	1.35344308399252	1.33315707191523	1.01521652062209	0.310002627174726	0.623792090213812
"ENSG00000140022"	193.020390894688	0.274636055846131	0.276483249054028	0.993318968819207	0.320554536341403	0.633426390324529
"ENSG00000140025"	242.559036539199	-0.151987135796807	0.157885772720473	-0.962639845110619	0.335728294394123	0.644166187240458
"ENSG00000140030"	83.8603301977954	-0.0960707035634289	0.360190596456222	-0.266721853675893	0.789683326484877	0.919742069608501
"ENSG00000140043"	784.786648211792	-0.18868314283841	0.205642458523318	-0.917530086896011	0.358864934396144	0.662600764178062
"ENSG00000140044"	497.504132815814	-0.405384174646423	0.305481148448721	-1.32703499612013	0.184497106385937	0.497837547604767
"ENSG00000140057"	71.3338354763583	-0.674347530988186	0.346014402592786	-1.94890017853333	0.0513073467594882	0.274588722015445
"ENSG00000140067"	0.115695788912148	0.73367145528144	2.32419796529811	0.315666507860202	0.752255650645064	NA
"ENSG00000140090"	11.8729630909431	0.0262972094642987	0.322660413464243	0.0815011955819392	0.935043374106713	0.976767290148108
"ENSG00000140092"	1225.7028961847	-0.766741363006153	0.415781261922678	-1.84409792654086	0.0651688700575837	0.307608224530767
"ENSG00000140093"	9076.22014544938	-0.940913010077488	0.313216913302098	-3.00403001918985	0.00266429035686902	0.0616104050545178
